ID,Country_Name,Country_Code,Indicator_Name,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
102,Hong Kong SAR China,HKG,Total natural resources rents (% of GDP),1.44E-03,1.68E-03,1.33E-03,1.14E-03,1.57E-03,1.14E-03,1.24E-03,1.21E-03
103,Hungary,HUN,Total natural resources rents (% of GDP),0.5377683,0.6996521,0.6398548,0.5129085,0.4010131,0.2860838,0.2498628,0.3016069
104,IBRD only,IBD,Total natural resources rents (% of GDP),7.8308751,9.5573923,7.6577897,6.5667384,5.5355675,3.2485259,2.8334403,3.5081437
105,Iceland,ISL,Total natural resources rents (% of GDP),,3.83E-04,3.60E-04,3.68E-04,3.49E-04,2.94E-04,2.55E-04,2.31E-04
106,IDA & IBRD total,IBT,Total natural resources rents (% of GDP),8.0416695,9.8120912,7.9191153,6.8123833,5.775859,3.4595799,3.0529526,3.7434969
107,IDA blend,IDB,Total natural resources rents (% of GDP),11.4771166,14.3594982,12.8479481,10.3961376,8.6001978,4.7273027,4.3427986,6.3541064
108,IDA only,IDX,Total natural resources rents (% of GDP),10.6104738,12.7981663,10.6049647,10.1695832,9.5086496,7.6012196,7.5212394,7.7426338
109,IDA total,IDA,Total natural resources rents (% of GDP),11.0487392,13.5996064,11.7882585,10.2957414,9.0339935,6.1540467,5.9838884,7.0992086
110,India,IND,Total natural resources rents (% of GDP),4.4753181,5.2610929,3.9564192,3.5996611,2.8017327,1.8279641,1.8073125,2.0439051
111,Indonesia,IDN,Total natural resources rents (% of GDP),7.3388958,8.9774643,6.9006872,6.2915878,5.1493494,3.711587,3.0564009,3.4821449
112,Iran Islamic Rep.,IRN,Total natural resources rents (% of GDP),23.3024852,28.5561549,23.7396646,28.0603982,27.1899978,16.111671,13.5082689,18.1627062
113,Iraq,IRQ,Total natural resources rents (% of GDP),42.6467082,51.1523596,48.730984,45.7135413,45.7081116,35.0316733,30.6467987,37.3102987
114,Ireland,IRL,Total natural resources rents (% of GDP),0.1380684,0.1239888,0.0848626,0.0765946,0.0890666,0.0567875,0.1001003,0.1425427
115,Isle of Man,IMN,Total natural resources rents (% of GDP),,,,,,,,
116,Israel,ISR,Total natural resources rents (% of GDP),0.1477406,0.2797365,0.2721904,0.3168903,0.2959966,0.2505681,0.1671427,0.1465916
117,Italy,ITA,Total natural resources rents (% of GDP),0.118838,0.1641323,0.1795784,0.1610968,0.139857,0.0806542,0.048005,0.0671102
118,Jamaica,JAM,Total natural resources rents (% of GDP),1.1680619,1.3256514,1.0793038,1.0954233,1.1959607,1.2838308,1.2401291,1.3144915
119,Japan,JPN,Total natural resources rents (% of GDP),0.0209671,0.0235768,0.0231019,0.0264071,0.0300661,0.0311285,0.0263737,0.0304415
120,Jordan,JOR,Total natural resources rents (% of GDP),1.2315033,2.6738467,2.5545495,1.0730368,1.022729,1.4594908,1.1863103,0.7635399
121,Kazakhstan,KAZ,Total natural resources rents (% of GDP),24.4183218,27.5667809,24.4160661,19.9913815,18.3853878,10.8092938,12.515363,16.4180086
122,Kenya,KEN,Total natural resources rents (% of GDP),3.1029512,3.3203362,3.3785335,3.0169309,2.9168129,2.9716835,2.8619647,2.4074975
123,Kiribati,KIR,Total natural resources rents (% of GDP),0.0623381,0.0731929,0.0583898,0.0552139,0.0879942,0.0729243,0.0826902,0.0848485
124,Korea Dem. People’s Rep.,PRK,Total natural resources rents (% of GDP),,,,,,,,
125,Korea Rep.,KOR,Total natural resources rents (% of GDP),0.0320875,0.0350082,0.053327,0.0302411,0.0265437,0.0198205,0.0189384,0.0184625
126,Kosovo,XKX,Total natural resources rents (% of GDP),4.1167841,3.7392998,1.5124451,1.209147,1.2412601,0.9328046,0.6456886,0.8497073
127,Kuwait,KWT,Total natural resources rents (% of GDP),49.5634467,61.9491486,61.8720001,58.3096994,55.2054501,38.0353194,32.565412,35.9868656
128,Kyrgyz Republic,KGZ,Total natural resources rents (% of GDP),11.2838515,12.360658,7.1637193,9.0706665,7.3827841,7.5724769,8.9118292,11.4430418
129,Lao PDR,LAO,Total natural resources rents (% of GDP),17.4282924,17.988108,15.6373659,15.6706647,11.9944457,8.8039677,8.0066371,7.7386075
130,Late-demographic dividend,LTE,Total natural resources rents (% of GDP),8.2119481,10.1468437,7.9164845,6.6944314,5.6913922,3.3566154,2.8548992,3.448698
131,Latin America & Caribbean,LCN,Total natural resources rents (% of GDP),5.7607878,7.1380856,6.5735277,6.1054915,5.2986571,3.2454325,3.0224772,3.5344932
132,Latin America & Caribbean (excluding high income),LAC,Total natural resources rents (% of GDP),5.38659,6.8345093,6.3093414,5.8571589,5.0457871,2.8962909,2.7502836,3.2252729
133,Latin America & the Caribbean (IDA & IBRD countries),TLA,Total natural resources rents (% of GDP),5.9332569,7.3360603,6.7650153,6.2865859,5.4535755,3.3774098,3.1578069,3.6799201
134,Latvia,LVA,Total natural resources rents (% of GDP),1.2270705,1.1923338,1.293364,1.0519045,1.0409715,0.9345896,1.0212956,1.0678526
135,Least developed countries: UN classification,LDC,Total natural resources rents (% of GDP),14.5713994,17.0998565,14.585524,13.46609,11.7001418,8.0460773,7.9618989,8.9110479
136,Lebanon,LBN,Total natural resources rents (% of GDP),1.88E-03,1.93E-03,1.82E-03,1.54E-03,2.29E-03,1.93E-03,1.34E-03,1.57E-03
137,Lesotho,LSO,Total natural resources rents (% of GDP),3.8740819,3.825862,4.6079658,4.9752373,5.4591329,6.1785749,7.098965,6.0686734
138,Liberia,LBR,Total natural resources rents (% of GDP),18.8582451,26.0035454,32.0835088,34.9451108,33.1397713,25.4222136,26.0637499,29.1182011
139,Libya,LBY,Total natural resources rents (% of GDP),54.337397,46.4703211,62.2249707,52.7805874,42.1765902,28.4495643,22.2954881,38.5594332
140,Liechtenstein,LIE,Total natural resources rents (% of GDP),9.24E-03,8.17E-03,6.55E-03,5.29E-03,5.99E-03,1.91E-03,2.07E-03,1.92E-03
141,Lithuania,LTU,Total natural resources rents (% of GDP),0.548584,0.5672745,0.5230323,0.4692554,0.4469114,0.3508583,0.368422,0.3822363
142,Low & middle income,LMY,Total natural resources rents (% of GDP),8.1587644,9.9767909,8.0113056,6.8853929,5.8284459,3.4462013,3.044515,3.7429936
143,Low income,LIC,Total natural resources rents (% of GDP),16.0244348,19.7418271,14.984722,15.0668185,14.0151017,11.1073199,12.1251706,13.1234531
144,Lower middle income,LMC,Total natural resources rents (% of GDP),8.0034267,9.9177078,8.7526806,7.6176502,6.4006645,3.7426586,3.26323,3.9904677
145,Luxembourg,LUX,Total natural resources rents (% of GDP),0.0601633,0.0935705,0.1149243,0.0578042,0.0459273,0.0128551,0.0103009,0.010353
146,Macao SAR China,MAC,Total natural resources rents (% of GDP),9.09E-04,9.22E-04,6.36E-04,5.19E-04,7.00E-04,6.63E-04,7.50E-04,6.99E-04
147,Madagascar,MDG,Total natural resources rents (% of GDP),5.9910342,6.3321787,7.1273523,7.8561245,10.3383365,10.9194342,9.8987754,8.7192895
148,Malawi,MWI,Total natural resources rents (% of GDP),5.9384891,5.8615416,8.7928139,9.7459155,9.547879,9.2450082,10.8413454,9.6096207
149,Malaysia,MYS,Total natural resources rents (% of GDP),9.5785272,10.0816105,9.7650842,8.877477,8.6896019,6.8185635,5.260254,6.0243781
150,Maldives,MDV,Total natural resources rents (% of GDP),8.97E-03,9.07E-03,7.47E-03,5.23E-03,5.17E-03,5.87E-03,6.63E-03,5.26E-03
151,Mali,MLI,Total natural resources rents (% of GDP),12.2224725,13.1174293,16.8304278,13.4749414,11.297988,12.1067968,12.4288333,12.3066021
152,Malta,MLT,Total natural resources rents (% of GDP),,,,,,,,
153,Marshall Islands,MHL,Total natural resources rents (% of GDP),,,,,,,,
154,Mauritania,MRT,Total natural resources rents (% of GDP),37.6845955,36.4639257,30.6549695,29.6152724,25.4814784,16.240408,15.9320972,18.9109999
155,Mauritius,MUS,Total natural resources rents (% of GDP),6.83E-03,4.65E-03,3.74E-03,1.84E-03,1.26E-03,1.18E-03,3.68E-03,3.34E-03
156,Mexico,MEX,Total natural resources rents (% of GDP),5.1416432,7.1387834,6.8086788,6.0074008,4.981366,2.5671027,2.3491417,2.8971466
157,Micronesia Fed. Sts.,FSM,Total natural resources rents (% of GDP),0.0272733,0.0354254,0.0280411,0.0265218,0.0406003,0.0321921,0.0360496,0.0350016
