ID,Country_Name,Country_Code,Indicator_Name,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
174,New Zealand,NZL,Population male (% of total population),49.101454,49.1228817,49.1407111,49.1544907,49.1642733,49.1699583,49.171189,49.1680932
175,Nicaragua,NIC,Population male (% of total population),49.2625589,49.2607108,49.264893,49.2726058,49.2804507,49.28595,49.2884643,49.2885886
176,Niger,NER,Population male (% of total population),49.9696277,50.0056501,50.0418287,50.0775253,50.1117609,50.1439655,50.1741636,50.2025239
177,Nigeria,NGA,Population male (% of total population),50.5738619,50.5877642,50.600947,50.6133726,50.6250214,50.6358911,50.6459768,50.6552943
178,North America,NAC,Population male (% of total population),49.409265,49.4212314,49.4351514,49.4497412,49.4631882,49.4742124,49.4826295,49.4888302
179,North Macedonia,MKD,Population male (% of total population),49.9785825,49.9887575,50.0018561,50.0155824,50.0270962,50.0352276,50.0386881,50.0378003
180,Northern Mariana Islands,MNP,Population male (% of total population),,,,,,,,
181,Norway,NOR,Population male (% of total population),49.9898278,50.0701549,50.1477347,50.2205549,50.2866731,50.3452903,50.3957951,50.4384739
182,Not classified,INX,Population male (% of total population),,,,,,,,
183,OECD members,OED,Population male (% of total population),49.1050968,49.111249,49.1177718,49.1248371,49.1334692,49.1439689,49.1564289,49.1702507
184,Oman,OMN,Population male (% of total population),60.318501,61.4891812,62.6690844,63.7357313,64.5935507,65.2149899,65.6237463,65.8681685
185,Other small states,OSS,Population male (% of total population),52.1957024,52.411067,52.5602283,52.6650016,52.7547588,52.8486617,52.9522216,53.0556236
186,Pacific island small states,PSS,Population male (% of total population),50.860045,50.8387946,50.8181384,50.7987111,50.7812347,50.7650862,50.7513602,50.7394775
187,Pakistan,PAK,Population male (% of total population),51.5129848,51.5015842,51.4908531,51.4813017,51.4735177,51.4678129,51.4642819,51.4625648
188,Palau,PLW,Population male (% of total population),,,,,,,,
189,Panama,PAN,Population male (% of total population),50.2440641,50.2264278,50.2086253,50.1907079,50.172237,50.1533833,50.1339213,50.1141531
190,Papua New Guinea,PNG,Population male (% of total population),50.8832213,50.9011139,50.9234631,50.9481295,50.9720536,50.9929115,51.0104009,51.0250843
191,Paraguay,PRY,Population male (% of total population),50.8646023,50.8765972,50.8851968,50.8898321,50.8901854,50.8860854,50.87731,50.8643148
192,Peru,PER,Population male (% of total population),49.8624038,49.8306846,49.7861746,49.7369415,49.6940948,49.6652379,49.6528588,49.6536908
193,Philippines,PHL,Population male (% of total population),50.4409154,50.4392972,50.4197217,50.3886173,50.3550576,50.3252831,50.3004279,50.2784343
194,Poland,POL,Population male (% of total population),48.349328,48.364547,48.3905539,48.4216394,48.4497965,48.4691675,48.4775575,48.4766202
